date,location,windgustdir,windgustspeed,winddir9am,winddir3pm,windspeed9am,windspeed3pm
1/25/2010,SydneyAirport,E,31,ESE,E,7,22
1/25/2010,WaggaWagga,W,33,ENE,WSW,11,19
1/25/2010,Williamtown,E,39,SSW,ESE,11,22
1/25/2010,Wollongong,NE,20,SSW,NNE,4,7
1/25/2010,Canberra,NA,NA,NA,NA,NA,NA
1/25/2010,Tuggeranong,N,35,SSE,N,7,19
1/25/2010,MountGinini,NW,35,NW,NA,13,NA
1/25/2010,Ballarat,SE,44,SE,SE,22,13
1/25/2010,Bendigo,NA,NA,SSE,SE,17,11
1/25/2010,Sale,E,35,WNW,SE,2,9
1/25/2010,MelbourneAirport,S,33,SE,S,13,20
1/25/2010,Melbourne,S,33,SE,S,13,20
1/25/2010,Mildura,SE,22,ESE,WNW,13,13
1/25/2010,Portland,ESE,33,ENE,SE,11,19
1/25/2010,Watsonia,WSW,33,SSE,WSW,6,22
1/25/2010,Dartmoor,ESE,37,E,WNW,15,9
1/25/2010,Brisbane,ENE,28,N,NNE,7,13
1/25/2010,Cairns,NNW,37,NNW,N,7,20
1/25/2010,GoldCoast,NNE,33,NE,NNE,15,30
1/25/2010,Townsville,ENE,59,E,NE,35,33
1/25/2010,Adelaide,WNW,24,SW,W,6,15
1/25/2010,MountGambier,SW,35,E,SSW,26,28
1/25/2010,Nuriootpa,W,33,E,SW,13,15
1/25/2010,Woomera,ESE,35,SE,SSW,17,20
1/25/2010,Albany,NA,NA,S,SSE,31,26
1/25/2010,Witchcliffe,SSE,54,SSE,SE,24,26
1/25/2010,PearceRAAF,ESE,50,NNE,SW,4,11
1/25/2010,PerthAirport,SE,46,ENE,WSW,11,22
1/25/2010,Perth,SSE,37,ENE,W,7,15
1/25/2010,SalmonGums,S,54,SSW,SSW,22,26
1/25/2010,Walpole,SE,41,SSE,SE,22,22
1/25/2010,Hobart,SSE,33,NNE,SE,7,19
1/25/2010,Launceston,NW,39,E,WNW,9,20
1/25/2010,AliceSprings,E,35,ESE,E,19,22
1/25/2010,Darwin,W,48,W,W,26,31
1/26/2010,Albury,WSW,39,NA,WSW,0,17
1/26/2010,BadgerysCreek,ESE,41,NNE,NA,9,NA
1/26/2010,Cobar,SSW,33,ESE,W,11,9
1/26/2010,CoffsHarbour,NE,54,SSW,NNE,7,31
1/26/2010,Moree,N,33,NNE,NNE,24,11
1/26/2010,Newcastle,NA,NA,NA,SE,0,4
